"SALESORDERID","CREATEDBY","CREATEDAT","CHANGEDBY","CHANGEDAT","FISCVARIANT","FISCALYEARPERIOD","NOTEID","PARTNERID","SALESORG","CURRENCY","GROSSAMOUNT","NETAMOUNT","TAXAMOUNT","LIFECYCLESTATUS","BILLINGSTATUS","DELIVERYSTATUS"
"0050011556","0000000003",2021-10-26,"0000000003",2021-10-27,K4,"2021010","","100000039",EMEA,USD,83535.73,74254.00,9281.73,"","",C
"0050011559","0000000016",2021-10-26,"0000000016",2021-10-28,K4,"2021010","","100000039",EMEA,USD,74217.34,65971.00,8246.34,"","",C
"0050011598","0000000023",2021-11-06,"0000000023",2021-11-09,K4,"2021011","","100000039",EMEA,USD,58304.24,51826.00,6478.24,"","",C
"0050011698","0000000019",2021-12-07,"0000000019",2021-12-10,K4,"2021012","","100000005",EMEA,USD,106855.84,94983.00,11872.84,"","",C
"0050011738","0000000019",2021-12-21,"0000000019",2021-12-24,K4,"2021012","","100000006",EMEA,USD,97070.61,86285.00,10785.61,"","",C
"0050012032","0000000017",2022-03-20,"0000000017",2022-03-22,K4,"2022003","","100000039",EMEA,USD,100594.08,89417.00,11177.08,"","",C
"0050012085","0000000019",2022-03-30,"0000000019",2022-03-31,K4,"2022003","","100000011",EMEA,USD,91714.46,81524.00,10190.46,"","",C
"0050012230","0000000022",2022-05-21,"0000000022",2022-05-23,K4,"2022005","","100000039",EMEA,USD,57923.98,51488.00,6435.98,"","",C
"0050012256","0000000019",2022-05-26,"0000000019",2022-05-28,K4,"2022005","","100000035",EMEA,USD,58470.74,51974.00,6496.74,"","",C
"0050012274","0000000019",2022-06-02,"0000000019",2022-06-04,K4,"2022006","","100000013",EMEA,USD,101624.59,90333.00,11291.59,"","",C
"0050012504","0000000019",2022-08-22,"0000000019",2022-08-23,K4,"2022008","","100000037",EMEA,USD,89936.98,79944.00,9992.98,"","",C
"0050012547","0000000017",2022-09-01,"0000000017",2022-09-03,K4,"2022009","","100000039",EMEA,USD,96415.85,85703.00,10712.85,"","",C
"0050012586","0000000018",2022-09-19,"0000000018",2022-09-20,K4,"2022009","","100000039",EMEA,USD,102975.71,91534.00,11441.71,"","",C
"0050012634","0000000022",2022-10-02,"0000000022",2022-10-04,K4,"2022010","","100000039",EMEA,USD,117710.97,104632.00,13078.97,"","",C
"0050000006","0000000019",2011-01-03,"0000000019",2011-01-06,K4,"2011001","","100000008",EMEA,USD,117442.10,104393.00,13049.10,"","",C
"0050000044","0000000006",2011-01-19,"0000000006",2011-01-22,K4,"2011001","","100000039",EMEA,USD,79418.24,70594.00,8824.24,"","",C
"0050000134","0000000006",2011-02-22,"0000000006",2011-02-24,K4,"2011002","","100000039",EMEA,USD,59282.99,52696.00,6586.99,"","",C
"0050000470","0000000022",2011-06-20,"0000000022",2011-06-23,K4,"2011006","","100000039",EMEA,USD,54640.10,48569.00,6071.10,"","",C
"0050000610","0000000019",2011-08-01,"0000000019",2011-08-04,K4,"2011008","","100000011",EMEA,USD,92441.22,82170.00,10271.22,"","",C
"0050000754","0000000021",2011-09-12,"0000000021",2011-09-14,K4,"2011009","","100000039",EMEA,USD,92141.96,81904.00,10237.96,"","",C
"0050001164","0000000006",2012-01-22,"0000000006",2012-01-24,K4,"2012001","","100000039",EMEA,USD,92533.48,82252.00,10281.48,"","",C
"0050001235","0000000015",2012-02-10,"0000000015",2012-02-13,K4,"2012002","","100000039",EMEA,USD,48652.87,43247.00,5405.87,"","",C
"0050001291","0000000019",2012-02-27,"0000000019",2012-03-01,K4,"2012002","","100000009",EMEA,USD,88466.59,78637.00,9829.59,"","",C
"0050001569","0000000020",2012-05-23,"0000000020",2012-05-26,K4,"2012005","","100000039",EMEA,USD,71266.50,63348.00,7918.50,"","",C
"0050001849","0000000019",2012-08-28,"0000000019",2012-08-31,K4,"2012008","","100000005",EMEA,USD,83915.98,74592.00,9323.98,"","",C
"0050002121","0000000018",2012-12-07,"0000000018",2012-12-09,K4,"2012012","","100000039",EMEA,USD,66595.49,59196.00,7399.49,"","",C
"0050002195","0000000017",2013-01-04,"0000000017",2013-01-07,K4,"2013001","","100000039",EMEA,USD,85825.11,76289.00,9536.11,"","",C
"0050002506","0000000019",2013-04-28,"0000000019",2013-04-30,K4,"2013004","","100000038",EMEA,USD,68181.74,60606.00,7575.74,"","",C
"0050002809","0000000021",2013-08-10,"0000000021",2013-08-11,K4,"2013008","","100000039",EMEA,USD,82735.86,73543.00,9192.86,"","",C
"0050002885","0000000019",2013-08-28,"0000000019",2013-08-31,K4,"2013008","","100000009",EMEA,USD,71979.74,63982.00,7997.74,"","",C
"0050002994","0000000019",2013-10-10,"0000000019",2013-10-13,K4,"2013010","","100000039",EMEA,USD,38137.50,33900.00,4237.50,"","",C
"0050003305","0000000019",2014-01-28,"0000000019",2014-01-29,K4,"2014001","","100000006",EMEA,USD,102551.59,91157.00,11394.59,"","",C
"0050003354","0000000006",2014-02-12,"0000000006",2014-02-15,K4,"2014002","","100000039",EMEA,USD,71156.25,63250.00,7906.25,"","",C
"0050003430","0000000006",2014-03-13,"0000000006",2014-03-16,K4,"2014003","","100000039",EMEA,USD,20250.00,18000.00,2250.00,"","",C
"0050003504","0000000022",2014-04-13,"0000000022",2014-04-14,K4,"2014004","","100000039",EMEA,USD,80069.62,71173.00,8896.62,"","",C
"0050003521","0000000019",2014-04-21,"0000000019",2014-04-23,K4,"2014004","","100000012",EMEA,USD,67554.00,60048.00,7506.00,"","",C
"0050004294","0000000019",2015-01-13,"0000000019",2015-01-15,K4,"2015001","","100000039",EMEA,USD,70008.74,62230.00,7778.74,"","",C
"0050004433","0000000019",2015-02-25,"0000000019",2015-02-27,K4,"2015002","","100000007",EMEA,USD,70141.50,62348.00,7793.50,"","",C
"0050004493","0000000019",2015-03-20,"0000000019",2015-03-21,K4,"2015003","","100000038",EMEA,USD,80534.23,71586.00,8948.23,"","",C
"0050005038","0000000006",2015-09-13,"0000000006",2015-09-16,K4,"2015009","","100000039",EMEA,USD,77045.61,68485.00,8560.61,"","",C
"0050005080","0000000015",2015-09-29,"0000000015",2015-10-01,K4,"2015009","","100000039",EMEA,USD,92743.83,82439.00,10304.83,"","",C
"0050005159","0000000019",2015-10-26,"0000000019",2015-10-28,K4,"2015010","","100000008",EMEA,USD,34650.00,30800.00,3850.00,"","",C
"0050005181","0000000018",2015-11-01,"0000000018",2015-11-02,K4,"2015011","","100000039",EMEA,USD,75094.85,66751.00,8343.85,"","",C
"0050005223","0000000019",2015-11-13,"0000000019",2015-11-14,K4,"2015011","","100000035",EMEA,USD,67893.75,60350.00,7543.75,"","",C
"0050005243","0000000015",2015-11-22,"0000000015",2015-11-24,K4,"2015011","","100000039",EMEA,USD,76496.62,67997.00,8499.62,"","",C
"0050005339","0000000019",2015-12-19,"0000000019",2015-12-20,K4,"2015012","","100000010",EMEA,USD,86195.22,76618.00,9577.22,"","",C
"0050005718","0000000003",2016-04-28,"0000000003",2016-05-01,K4,"2016004","","100000039",EMEA,USD,92657.23,82362.00,10295.23,"","",C
"0050006002","0000000019",2016-08-08,"0000000019",2016-08-10,K4,"2016008","","100000039",EMEA,USD,78775.86,70023.00,8752.86,"","",C
"0050006244","0000000019",2016-10-29,"0000000019",2016-11-01,K4,"2016010","","100000005",EMEA,USD,106087.48,94300.00,11787.48,"","",C
"0050006326","0000000019",2016-12-06,"0000000019",2016-12-09,K4,"2016012","","100000038",EMEA,USD,78736.49,69988.00,8748.49,"","",C
"0050006339","0000000019",2016-12-12,"0000000019",2016-12-15,K4,"2016012","","100000037",EMEA,USD,57487.50,51100.00,6387.50,"","",C
"0050006673","0000000016",2017-04-01,"0000000016",2017-04-03,K4,"2017004","","100000039",EMEA,USD,101219.60,89973.00,11246.60,"","",C
"0050006759","0000000006",2017-04-30,"0000000006",2017-05-02,K4,"2017004","","100000039",EMEA,USD,68894.98,61240.00,7654.98,"","",C
"0050007202","0000000019",2017-09-17,"0000000019",2017-09-18,K4,"2017009","","100000005",EMEA,USD,73571.62,65397.00,8174.62,"","",C
"0050007232","0000000019",2017-09-24,"0000000019",2017-09-25,K4,"2017009","","100000010",EMEA,USD,72991.09,64881.00,8110.09,"","",C
"0050007927","0000000018",2018-05-30,"0000000018",2018-05-31,K4,"2018005","","100000039",EMEA,USD,57866.59,51437.00,6429.59,"","",C
"0050008280","0000000018",2018-09-27,"0000000018",2018-09-28,K4,"2018009","","100000039",EMEA,USD,16875.00,15000.00,1875.00,"","",C
"0050008446","0000000015",2018-11-30,"0000000015",2018-12-02,K4,"2018011","","100000039",EMEA,USD,74550.36,66267.00,8283.36,"","",C
"0050008643","0000000019",2019-02-07,"0000000019",2019-02-09,K4,"2019002","","100000038",EMEA,USD,90906.72,80806.00,10100.72,"","",C
"0050008722","0000000019",2019-03-04,"0000000019",2019-03-06,K4,"2019003","","100000006",EMEA,USD,67634.97,60120.00,7514.97,"","",C
"0050009449","0000000019",2019-11-23,"0000000019",2019-11-26,K4,"2019011","","100000039",EMEA,USD,56019.37,49795.00,6224.37,"","",C
"0050009616","0000000019",2020-01-13,"0000000019",2020-01-14,K4,"2020001","","100000010",EMEA,USD,50287.50,44700.00,5587.50,"","",C
"0050009792","0000000015",2020-03-15,"0000000015",2020-03-16,K4,"2020003","","100000039",EMEA,USD,48768.75,43350.00,5418.75,"","",C
"0050010050","0000000017",2020-06-06,"0000000017",2020-06-08,K4,"2020006","","100000039",EMEA,USD,73056.37,64939.00,8117.37,"","",C
"0050010134","0000000019",2020-07-02,"0000000019",2020-07-03,K4,"2020007","","100000005",EMEA,USD,53228.24,47314.00,5914.24,"","",C
"0050010336","0000000018",2020-09-09,"0000000018",2020-09-11,K4,"2020009","","100000039",EMEA,USD,77840.99,69192.00,8648.99,"","",C
"0050010367","0000000019",2020-09-21,"0000000019",2020-09-22,K4,"2020009","","100000011",EMEA,USD,93534.74,83142.00,10392.74,"","",C
"0050010671","0000000021",2020-12-25,"0000000021",2020-12-27,K4,"2020012","","100000039",EMEA,USD,93471.71,83086.00,10385.71,"","",C
"0050010878","0000000015",2021-03-22,"0000000015",2021-03-23,K4,"2021003","","100000039",EMEA,USD,16875.00,15000.00,1875.00,"","",C
"0050011113","0000000015",2021-05-29,"0000000015",2021-05-30,K4,"2021005","","100000039",EMEA,USD,45560.25,40498.00,5062.25,"","",C
"0050011206","0000000019",2021-06-24,"0000000019",2021-06-25,K4,"2021006","","100000007",EMEA,USD,27506.25,24450.00,3056.25,"","",C
"0050011306","0000000019",2021-08-03,"0000000019",2021-08-05,K4,"2021008","","100000012",EMEA,USD,16875.00,15000.00,1875.00,"","",C
"0050011321","0000000019",2021-08-05,"0000000019",2021-08-06,K4,"2021008","","100000038",EMEA,USD,77780.23,69138.00,8642.23,"","",C
"0050011417","0000000020",2021-09-08,"0000000020",2021-09-09,K4,"2021009","","100000039",EMEA,USD,68495.62,60885.00,7610.62,"","",C
"0050012241","0000000019",2022-05-24,"0000000019",2022-05-27,K4,"2022005","","100000038",EMEA,USD,89354.23,79426.00,9928.23,"","",C
"0050012333","0000000017",2022-06-23,"0000000017",2022-06-26,K4,"2022006","","100000039",EMEA,USD,77843.24,69194.00,8649.24,"","",C
"0050012775","0000000019",2022-11-29,"0000000019",2022-11-30,K4,"2022011","","100000038",EMEA,USD,82273.47,73132.00,9141.47,"","",C
"0050013039","0000000003",2023-03-07,"0000000003",2023-03-08,K4,"2023003","","100000039",EMEA,USD,62660.25,55698.00,6962.25,"","",C
"0050000003","0000000019",2011-01-01,"0000000019",2011-01-03,K4,"2011001","","100000008",EMEA,USD,59793.75,53150.00,6643.75,"","",C
"0050000728","0000000019",2011-09-04,"0000000019",2011-09-05,K4,"2011009","","100000008",EMEA,USD,87024.35,77355.00,9669.35,"","",C
"0050000846","0000000023",2011-10-05,"0000000023",2011-10-06,K4,"2011010","","100000039",EMEA,USD,75036.34,66699.00,8337.34,"","",C
"0050001062","0000000019",2011-12-23,"0000000019",2011-12-24,K4,"2011012","","100000039",EMEA,USD,43987.50,39100.00,4887.50,"","",C
"0050001299","0000000019",2012-02-29,"0000000019",2012-03-02,K4,"2012002","","100000036",EMEA,USD,11250.00,10000.00,1250.00,"","",C
"0050001339","0000000017",2012-03-13,"0000000017",2012-03-14,K4,"2012003","","100000039",EMEA,USD,42356.25,37650.00,4706.25,"","",C
"0050001420","0000000015",2012-04-06,"0000000015",2012-04-09,K4,"2012004","","100000039",EMEA,USD,102592.11,91193.00,11399.11,"","",C
"0050001604","0000000019",2012-06-06,"0000000019",2012-06-08,K4,"2012006","","100000037",EMEA,USD,11250.00,10000.00,1250.00,"","",C
"0050001619","0000000023",2012-06-11,"0000000023",2012-06-13,K4,"2012006","","100000039",EMEA,USD,47022.75,41798.00,5224.75,"","",C
"0050001645","0000000019",2012-06-17,"0000000019",2012-06-18,K4,"2012006","","100000011",EMEA,USD,71767.12,63793.00,7974.12,"","",C
"0050001678","0000000015",2012-06-30,"0000000015",2012-07-03,K4,"2012006","","100000039",EMEA,USD,86826.35,77179.00,9647.35,"","",C
"0050001834","0000000019",2012-08-21,"0000000019",2012-08-24,K4,"2012008","","100000037",EMEA,USD,77842.12,69193.00,8649.12,"","",C
"0050001909","0000000016",2012-09-12,"0000000016",2012-09-14,K4,"2012009","","100000039",EMEA,USD,64994.61,57773.00,7221.61,"","",C
"0050002190","0000000019",2013-01-01,"0000000019",2013-01-02,K4,"2013001","","100000009",EMEA,USD,88566.71,78726.00,9840.71,"","",C
"0050002203","0000000019",2013-01-04,"0000000019",2013-01-06,K4,"2013001","","100000035",EMEA,USD,96433.86,85719.00,10714.86,"","",C
"0050002580","0000000019",2013-05-26,"0000000019",2013-05-27,K4,"2013005","","100000009",EMEA,USD,88414.82,78591.00,9823.82,"","",C
"0050002734","0000000019",2013-07-19,"0000000019",2013-07-20,K4,"2013007","","100000039",EMEA,USD,70243.86,62439.00,7804.86,"","",C
"0050002746","0000000015",2013-07-20,"0000000015",2013-07-23,K4,"2013007","","100000039",EMEA,USD,74697.74,66398.00,8299.74,"","",C
"0050003020","0000000020",2013-10-18,"0000000020",2013-10-20,K4,"2013010","","100000039",EMEA,USD,114883.84,102119.00,12764.84,"","",C
"0050003201","0000000016",2013-12-18,"0000000016",2013-12-21,K4,"2013012","","100000039",EMEA,USD,85621.47,76108.00,9513.47,"","",C
"0050003668","0000000016",2014-06-15,"0000000016",2014-06-17,K4,"2014006","","100000039",EMEA,USD,72031.49,64028.00,8003.49,"","",C
"0050003979","0000000019",2014-10-07,"0000000019",2014-10-09,K4,"2014010","","100000035",EMEA,USD,114461.97,101744.00,12717.97,"","",C
"0050004078","0000000019",2014-11-08,"0000000019",2014-11-10,K4,"2014011","","100000007",EMEA,USD,97590.32,86747.00,10843.32,"","",C
"0050004126","0000000019",2014-11-22,"0000000019",2014-11-24,K4,"2014011","","100000036",EMEA,USD,76093.86,67639.00,8454.86,"","",C
"0050004267","0000000019",2015-01-05,"0000000019",2015-01-06,K4,"2015001","","100000038",EMEA,USD,93616.84,83215.00,10401.84,"","",C
"0050004410","0000000019",2015-02-19,"0000000019",2015-02-20,K4,"2015002","","100000006",EMEA,USD,61476.74,54646.00,6830.74,"","",C
"0050004476","0000000019",2015-03-12,"0000000019",2015-03-13,K4,"2015003","","100000038",EMEA,USD,57134.24,50786.00,6348.24,"","",C
"0050004867","0000000018",2015-07-20,"0000000018",2015-07-21,K4,"2015007","","100000039",EMEA,USD,60567.72,53838.00,6729.72,"","",C
"0050004893","0000000019",2015-07-27,"0000000019",2015-07-28,K4,"2015007","","100000037",EMEA,USD,101912.61,90589.00,11323.61,"","",C
"0050004931","0000000019",2015-08-12,"0000000019",2015-08-13,K4,"2015008","","100000012",EMEA,USD,85432.46,75940.00,9492.46,"","",C
"0050005200","0000000019",2015-11-07,"0000000019",2015-11-09,K4,"2015011","","100000035",EMEA,USD,27450.00,24400.00,3050.00,"","",C
"0050005296","0000000019",2015-12-05,"0000000019",2015-12-07,K4,"2015012","","100000010",EMEA,USD,93772.11,83353.00,10419.11,"","",C
"0050005644","0000000020",2016-03-28,"0000000020",2016-03-29,K4,"2016003","","100000039",EMEA,USD,126204.71,112182.00,14022.71,"","",C
"0050006181","0000000019",2016-10-07,"0000000019",2016-10-08,K4,"2016010","","100000007",EMEA,USD,88480.11,78649.00,9831.11,"","",C
"0050006260","0000000016",2016-11-05,"0000000016",2016-11-07,K4,"2016011","","100000039",EMEA,USD,92654.96,82360.00,10294.96,"","",C
"0050006461","0000000006",2017-01-23,"0000000006",2017-01-26,K4,"2017001","","100000039",EMEA,USD,45506.25,40450.00,5056.25,"","",C
"0050006954","0000000019",2017-07-04,"0000000019",2017-07-06,K4,"2017007","","100000036",EMEA,USD,93633.73,83230.00,10403.73,"","",C
"0050006955","0000000019",2017-07-04,"0000000019",2017-07-05,K4,"2017007","","100000011",EMEA,USD,95675.60,85045.00,10630.60,"","",C
"0050007147","0000000020",2017-08-28,"0000000020",2017-08-31,K4,"2017008","","100000039",EMEA,USD,69626.24,61890.00,7736.24,"","",C
"0050007217","0000000019",2017-09-20,"0000000019",2017-09-22,K4,"2017009","","100000009",EMEA,USD,87179.61,77493.00,9686.61,"","",C
"0050007488","0000000019",2017-12-29,"0000000019",2018-01-01,K4,"2017012","","100000006",EMEA,USD,90748.11,80665.00,10083.11,"","",C
"0050007708","0000000019",2018-03-10,"0000000019",2018-03-13,K4,"2018003","","100000008",EMEA,USD,83986.86,74655.00,9331.86,"","",C
"0050008015","0000000022",2018-07-05,"0000000022",2018-07-07,K4,"2018007","","100000039",EMEA,USD,103762.08,92233.00,11529.08,"","",C
"0050008191","0000000019",2018-09-02,"0000000019",2018-09-04,K4,"2018009","","100000009",EMEA,USD,86709.34,77075.00,9634.34,"","",C
"0050008292","0000000016",2018-10-05,"0000000016",2018-10-08,K4,"2018010","","100000039",EMEA,USD,43027.87,38247.00,4780.87,"","",C
"0050008507","0000000019",2018-12-24,"0000000019",2018-12-27,K4,"2018012","","100000014",EMEA,USD,75559.48,67164.00,8395.48,"","",C
"0050008577","0000000019",2019-01-13,"0000000019",2019-01-16,K4,"2019001","","100000014",EMEA,USD,80121.35,71219.00,8902.35,"","",C
"0050008676","0000000019",2019-02-19,"0000000019",2019-02-21,K4,"2019002","","100000039",EMEA,USD,106762.47,94900.00,11862.47,"","",C
"0050008701","0000000019",2019-02-26,"0000000019",2019-03-01,K4,"2019002","","100000007",EMEA,USD,40050.00,35600.00,4450.00,"","",C
"0050008794","0000000019",2019-03-29,"0000000019",2019-03-30,K4,"2019003","","100000036",EMEA,USD,100769.61,89573.00,11196.61,"","",C
"0050008804","0000000022",2019-04-02,"0000000022",2019-04-05,K4,"2019004","","100000039",EMEA,USD,87777.00,78024.00,9753.00,"","",C
"0050008868","0000000017",2019-04-23,"0000000017",2019-04-25,K4,"2019004","","100000039",EMEA,USD,86380.85,76783.00,9597.85,"","",C
"0050009337","0000000018",2019-10-21,"0000000018",2019-10-22,K4,"2019010","","100000039",EMEA,USD,80887.47,71900.00,8987.47,"","",C
"0050009379","0000000019",2019-11-01,"0000000019",2019-11-02,K4,"2019011","","100000014",EMEA,USD,47193.75,41950.00,5243.75,"","",C
"0050009941","0000000019",2020-05-02,"0000000019",2020-05-05,K4,"2020005","","100000009",EMEA,USD,73273.46,65132.00,8141.46,"","",C
"0050010161","0000000019",2020-07-10,"0000000019",2020-07-13,K4,"2020007","","100000013",EMEA,USD,79882.86,71007.00,8875.86,"","",C
"0050010210","0000000019",2020-07-31,"0000000019",2020-08-02,K4,"2020007","","100000010",EMEA,USD,83525.61,74245.00,9280.61,"","",C
"0050010534","0000000021",2020-11-08,"0000000021",2020-11-11,K4,"2020011","","100000039",EMEA,USD,114340.47,101636.00,12704.47,"","",C
"0050010717","0000000022",2021-01-13,"0000000022",2021-01-14,K4,"2021001","","100000039",EMEA,USD,84672.00,75264.00,9408.00,"","",C
"0050010838","0000000018",2021-03-03,"0000000018",2021-03-05,K4,"2021003","","100000039",EMEA,USD,133162.84,118367.00,14795.84,"","",C
"0050010925","0000000017",2021-04-04,"0000000017",2021-04-07,K4,"2021004","","100000039",EMEA,USD,85765.48,76236.00,9529.48,"","",C
"0050011054","0000000019",2021-05-13,"0000000019",2021-05-15,K4,"2021005","","100000014",EMEA,USD,20137.50,17900.00,2237.50,"","",C
"0050011073","0000000023",2021-05-15,"0000000023",2021-05-16,K4,"2021005","","100000039",EMEA,USD,76590.00,68080.00,8510.00,"","",C
"0050011089","0000000020",2021-05-20,"0000000020",2021-05-22,K4,"2021005","","100000039",EMEA,USD,11250.00,10000.00,1250.00,"","",C
"0050011154","0000000019",2021-06-12,"0000000019",2021-06-15,K4,"2021006","","100000009",EMEA,USD,93382.84,83007.00,10375.84,"","",C
"0050011388","0000000019",2021-08-27,"0000000019",2021-08-30,K4,"2021008","","100000007",EMEA,USD,91232.97,81096.00,10136.97,"","",C
"0050011433","0000000022",2021-09-16,"0000000022",2021-09-17,K4,"2021009","","100000039",EMEA,USD,74320.86,66063.00,8257.86,"","",C
"0050011458","0000000023",2021-09-23,"0000000023",2021-09-25,K4,"2021009","","100000039",EMEA,USD,68284.12,60697.00,7587.12,"","",C
"0050011553","0000000019",2021-10-25,"0000000019",2021-10-26,K4,"2021010","","100000009",EMEA,USD,76385.25,67898.00,8487.25,"","",C
"0050011785","0000000021",2022-01-05,"0000000021",2022-01-08,K4,"2022001","","100000039",EMEA,USD,122693.59,109061.00,13632.59,"","",C
"0050011954","0000000020",2022-02-22,"0000000020",2022-02-24,K4,"2022002","","100000039",EMEA,USD,99326.23,88290.00,11036.23,"","",C
"0050012065","0000000019",2022-03-25,"0000000019",2022-03-26,K4,"2022003","","100000014",EMEA,USD,68303.25,60714.00,7589.25,"","",C
"0050012089","0000000003",2022-04-02,"0000000003",2022-04-05,K4,"2022004","","100000039",EMEA,USD,23227.87,20647.00,2580.87,"","",C
"0050012170","0000000015",2022-05-03,"0000000015",2022-05-06,K4,"2022005","","100000039",EMEA,USD,109025.97,96912.00,12113.97,"","",C
"0050012218","0000000015",2022-05-16,"0000000015",2022-05-18,K4,"2022005","","100000039",EMEA,USD,85384.12,75897.00,9487.12,"","",C
"0050012550","0000000019",2022-09-02,"0000000019",2022-09-05,K4,"2022009","","100000039",EMEA,USD,77482.12,68873.00,8609.12,"","",C
"0050012762","0000000019",2022-11-24,"0000000019",2022-11-27,K4,"2022011","","100000008",EMEA,USD,69132.36,61451.00,7681.36,"","",C
"0050012817","0000000019",2022-12-17,"0000000019",2022-12-18,K4,"2022012","","100000039",EMEA,USD,50625.00,45000.00,5625.00,"","",C
"0050000073","0000000017",2011-01-28,"0000000017",2011-01-31,K4,"2011001","","100000039",EMEA,USD,29531.25,26250.00,3281.25,"","",C
"0050000110","0000000015",2011-02-11,"0000000015",2011-02-13,K4,"2011002","","100000039",EMEA,USD,27337.50,24300.00,3037.50,"","",C
"0050000164","0000000019",2011-02-26,"0000000019",2011-02-27,K4,"2011002","","100000039",EMEA,USD,70142.62,62349.00,7793.62,"","",C
"0050000291","0000000019",2011-04-17,"0000000019",2011-04-18,K4,"2011004","","100000006",EMEA,USD,31893.75,28350.00,3543.75,"","",C
"0050000363","0000000016",2011-05-09,"0000000016",2011-05-11,K4,"2011005","","100000039",EMEA,USD,74470.49,66196.00,8274.49,"","",C
"0050000455","0000000019",2011-06-17,"0000000019",2011-06-19,K4,"2011006","","100000038",EMEA,USD,45787.50,40700.00,5087.50,"","",C
"0050000552","0000000022",2011-07-12,"0000000022",2011-07-14,K4,"2011007","","100000039",EMEA,USD,44043.75,39150.00,4893.75,"","",C
"0050000606","0000000019",2011-07-29,"0000000019",2011-07-31,K4,"2011007","","100000014",EMEA,USD,98588.21,87634.00,10954.21,"","",C
"0050000642","0000000019",2011-08-09,"0000000019",2011-08-10,K4,"2011008","","100000012",EMEA,USD,39825.00,35400.00,4425.00,"","",C
"0050000794","0000000019",2011-09-24,"0000000019",2011-09-27,K4,"2011009","","100000012",EMEA,USD,38756.25,34450.00,4306.25,"","",C
"0050000845","0000000023",2011-10-05,"0000000023",2011-10-08,K4,"2011010","","100000039",EMEA,USD,116898.72,103910.00,12988.72,"","",C
"0050000910","0000000019",2011-10-23,"0000000019",2011-10-25,K4,"2011010","","100000012",EMEA,USD,60685.86,53943.00,6742.86,"","",C
"0050000936","0000000019",2011-11-02,"0000000019",2011-11-04,K4,"2011011","","100000039",EMEA,USD,84109.47,74764.00,9345.47,"","",C
"0050001155","0000000020",2012-01-19,"0000000020",2012-01-22,K4,"2012001","","100000039",EMEA,USD,60295.50,53596.00,6699.50,"","",C
"0050001272","0000000019",2012-02-19,"0000000019",2012-02-21,K4,"2012002","","100000039",EMEA,USD,23287.50,20700.00,2587.50,"","",C
"0050001499","0000000018",2012-05-01,"0000000018",2012-05-04,K4,"2012005","","100000039",EMEA,USD,119147.60,105909.00,13238.60,"","",C
"0050001713","0000000019",2012-07-13,"0000000019",2012-07-16,K4,"2012007","","100000011",EMEA,USD,61879.48,55004.00,6875.48,"","",C
"0050001727","0000000015",2012-07-17,"0000000015",2012-07-18,K4,"2012007","","100000039",EMEA,USD,74936.25,66610.00,8326.25,"","",C
"0050002025","0000000020",2012-10-31,"0000000020",2012-11-02,K4,"2012010","","100000039",EMEA,USD,18000.00,16000.00,2000.00,"","",C
"0050002206","0000000019",2013-01-05,"0000000019",2013-01-06,K4,"2013001","","100000039",EMEA,USD,66936.37,59499.00,7437.37,"","",C
